epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,328.448,0.93103,0.97503,1.30162,0.78289,0.40635,0.55896,0.32861,1.818,1.75881,2.36535,0.00035007,0.00035007,0.00035007
2,680.653,0.99855,1.00271,1.37262,0.66846,0.55556,0.56588,0.27555,2.06669,1.62374,2.74032,0.000699069,0.000699069,0.000699069
3,982.173,1.07317,1.01598,1.43052,0.63755,0.70779,0.67395,0.36524,1.72871,1.31689,2.42451,0.00102991,0.00102991,0.00102991
4,1268.88,1.14283,1.13835,1.44678,0.58922,0.73058,0.52924,0.27888,1.67341,1.98224,2.35867,0.00134261,0.00134261,0.00134261
5,1526.39,1.13342,1.14711,1.44184,0.64384,0.36372,0.46398,0.21193,2.02635,1.76999,2.72372,0.00150197,0.00150197,0.00150197
6,1815.1,1.10036,1.1189,1.44178,0.47608,0.62963,0.45105,0.24282,1.83484,2.06764,2.70793,0.00146071,0.00146071,0.00146071
7,2061.88,1.1645,1.14046,1.45364,0.668,0.5,0.60404,0.30085,1.89416,1.69748,2.77577,0.00141945,0.00141945,0.00141945
8,2361.32,1.10789,1.08343,1.42478,0.64657,0.67448,0.58501,0.26194,1.84859,2.0768,2.763,0.00137819,0.00137819,0.00137819
9,2713.89,1.12161,1.15549,1.45129,0.54374,0.74074,0.63731,0.32417,1.76812,1.42941,2.47691,0.00133693,0.00133693,0.00133693
10,3060.86,1.13905,1.0959,1.47168,0.54211,0.87037,0.70738,0.30088,1.89433,1.54115,2.65646,0.00129568,0.00129568,0.00129568
11,3360.9,1.10943,1.07839,1.41141,0.39963,0.69765,0.35808,0.15035,2.05238,3.15355,2.9114,0.00125442,0.00125442,0.00125442
12,3583.49,1.11203,1.04277,1.44801,0.75341,0.33333,0.47584,0.26501,2.01229,1.82812,2.84418,0.00121316,0.00121316,0.00121316
13,3791.38,1.11334,1.06687,1.42226,0.6764,0.61619,0.57233,0.29493,1.8787,1.73631,2.54077,0.0011719,0.0011719,0.0011719
14,4642.74,1.08578,0.99542,1.42043,0.66214,0.5094,0.56011,0.28399,1.88307,1.81906,2.6677,0.00113064,0.00113064,0.00113064
15,5209.21,1.06172,0.98578,1.39785,0.71743,0.61111,0.61274,0.31457,1.89605,1.65427,2.58352,0.00108938,0.00108938,0.00108938
16,5620.54,1.00789,0.94211,1.35963,0.61874,0.55556,0.5343,0.30618,1.89389,2.01651,2.57521,0.00104813,0.00104813,0.00104813
17,6106.29,1.03889,0.94807,1.36553,0.67404,0.57407,0.57861,0.29835,2.00018,1.52028,2.71061,0.00100687,0.00100687,0.00100687
18,6871.98,1.05311,0.95888,1.37546,0.69044,0.62963,0.68898,0.39228,1.70474,1.16615,2.47319,0.00096561,0.00096561,0.00096561
19,7540.27,0.99872,0.92458,1.3612,0.7945,0.56934,0.70714,0.36051,1.87036,1.20933,2.57311,0.000924352,0.000924352,0.000924352
20,7952.5,0.92724,0.8702,1.29715,0.83371,0.51852,0.64833,0.36214,1.72311,1.24901,2.48038,0.000883093,0.000883093,0.000883093
21,8265.74,0.96475,0.87825,1.30727,0.53635,0.70418,0.61003,0.34356,1.79644,1.33395,2.54305,0.000841835,0.000841835,0.000841835
22,8595.74,0.93002,0.86619,1.29927,0.70046,0.48148,0.61175,0.34292,1.69422,1.44346,2.43802,0.000800577,0.000800577,0.000800577
23,9032.59,0.88986,0.81698,1.27494,0.7182,0.54391,0.63689,0.39445,1.64721,1.19968,2.32126,0.000759318,0.000759318,0.000759318
24,9422.29,0.89618,0.829,1.28843,0.61655,0.57407,0.6274,0.39341,1.59376,1.45753,2.31385,0.00071806,0.00071806,0.00071806
25,9755.77,0.91796,0.79753,1.27885,0.60452,0.6807,0.60831,0.36546,1.65925,1.62184,2.44909,0.000676802,0.000676802,0.000676802
26,10019.5,0.84619,0.76968,1.23295,0.57618,0.64815,0.55845,0.33827,1.7546,1.5881,2.59844,0.000635544,0.000635544,0.000635544
27,10233.6,0.86906,0.74799,1.26116,0.57253,0.55556,0.58571,0.34951,1.62342,1.4785,2.38721,0.000594286,0.000594286,0.000594286
28,10451.5,0.88314,0.76305,1.27429,0.5552,0.78598,0.60414,0.33856,1.68801,1.32879,2.49119,0.000553027,0.000553027,0.000553027
29,12826.7,0.81891,0.71168,1.22532,0.6467,0.71535,0.66504,0.39123,1.63107,1.19671,2.40305,0.000511769,0.000511769,0.000511769
30,13075.7,0.79685,0.70039,1.20259,0.68301,0.63403,0.66899,0.38792,1.63011,1.22315,2.38416,0.000470511,0.000470511,0.000470511
31,13334.7,0.78237,0.73501,1.29292,0.64567,0.48148,0.57567,0.29089,1.95313,1.75041,2.97831,0.000429253,0.000429253,0.000429253
32,13614,0.71231,0.60631,1.2375,0.69769,0.62654,0.637,0.35851,1.66187,1.71461,2.46718,0.000387994,0.000387994,0.000387994
33,13875.3,0.67431,0.55778,1.21322,0.67373,0.67761,0.69078,0.34679,1.59627,1.48545,2.39381,0.000346736,0.000346736,0.000346736
34,14162.7,0.65348,0.53071,1.18464,0.62133,0.75527,0.70729,0.38215,1.73176,1.28211,2.48557,0.000305478,0.000305478,0.000305478
35,14457.5,0.62457,0.50998,1.17276,0.6247,0.74074,0.70944,0.38888,1.66344,1.29117,2.43286,0.00026422,0.00026422,0.00026422
36,14738,0.61032,0.47717,1.14672,0.69544,0.68263,0.69672,0.40647,1.56405,1.3866,2.39883,0.000222961,0.000222961,0.000222961
37,14975.8,0.57542,0.46704,1.12848,0.55898,0.68519,0.69646,0.39434,1.67045,1.2566,2.5588,0.000181703,0.000181703,0.000181703
38,15288.8,0.56635,0.44847,1.10352,0.5914,0.74074,0.6987,0.40797,1.64507,1.22794,2.46931,0.000140445,0.000140445,0.000140445
39,15785.7,0.56327,0.47314,1.11991,0.64386,0.72516,0.70662,0.41282,1.67865,1.24879,2.53249,9.91865e-05,9.91865e-05,9.91865e-05
40,16101.1,0.54818,0.44395,1.08712,0.6763,0.68058,0.71812,0.41626,1.68357,1.25227,2.57127,5.79283e-05,5.79283e-05,5.79283e-05
